action,taxi_row,taxi_col,passenger_index,destination_index,reward
2,4,3,2,1,-1
5,4,4,2,1,20
0,0,2,0,1,-1
0,1,2,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
4,1,0,0,1,-10
1,1,0,0,1,-1
4,0,0,0,1,-1
2,0,0,2,1,-1
0,0,1,2,1,-1
0,1,1,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
0,2,3,2,1,-1
0,3,3,2,1,-1
2,4,3,2,1,-1
5,4,4,2,1,20
3,2,4,0,1,-1
3,2,3,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
2,0,0,2,1,-1
0,0,1,2,1,-1
0,1,1,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
0,2,3,2,1,-1
0,3,3,2,1,-1
2,4,3,2,1,-1
5,4,4,2,1,20
3,2,2,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
2,0,0,2,1,-1
0,0,1,2,1,-1
0,1,1,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
0,2,3,2,1,-1
0,3,3,2,1,-1
2,4,3,2,1,-1
5,4,4,2,1,20
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
2,0,0,2,1,-1
0,0,1,2,1,-1
0,1,1,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
0,2,3,2,1,-1
0,3,3,2,1,-1
2,4,3,2,1,-1
4,4,4,2,1,-10
5,4,4,2,1,20
1,4,1,0,1,-1
1,3,1,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
2,0,0,2,1,-1
0,0,1,2,1,-1
0,1,1,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
0,2,3,2,1,-1
0,3,3,2,1,-1
2,4,3,2,1,-1
5,4,4,2,1,20
1,1,0,0,1,-1
4,0,0,0,1,-1
2,0,0,2,1,-1
0,0,1,2,1,-1
2,1,1,2,1,-1
2,1,1,2,1,-1
0,1,1,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
0,2,3,2,1,-1
0,3,3,2,1,-1
2,4,3,2,1,-1
5,4,4,2,1,20
1,4,3,0,1,-1
1,3,3,0,1,-1
3,2,3,0,1,-1
3,2,2,0,1,-1
0,2,1,0,1,-1
3,3,1,0,1,-1
1,3,1,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,0,4,0,1,-1
0,1,4,0,1,-1
3,2,4,0,1,-1
3,2,3,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,0,3,0,1,-1
0,1,3,0,1,-1
3,2,3,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,1,0,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
1,2,3,2,1,-1
2,1,3,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,1,1,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
1,2,3,2,1,-1
2,1,3,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
3,2,3,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,0,1,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,0,2,0,1,-1
0,1,2,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
2,3,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
4,4,0,0,1,-1
1,4,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
1,2,3,2,1,-1
2,1,3,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
1,4,2,0,1,-1
1,3,2,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
0,2,0,0,1,-1
0,3,0,0,1,-1
4,4,0,0,1,-1
1,4,0,2,1,-1
2,3,0,2,1,-1
1,3,0,2,1,-1
2,2,0,2,1,-1
2,2,1,2,1,-1
2,2,2,2,1,-1
1,2,3,2,1,-1
1,1,3,2,1,-1
2,0,3,2,1,-1
5,0,4,2,1,20
1,4,0,0,1,-1
1,3,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
0,0,4,0,1,-1
3,1,4,0,1,-1
3,1,3,0,1,-1
3,1,2,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
0,0,3,0,1,-1
3,1,3,0,1,-1
3,1,2,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
3,3,2,0,1,-1
1,3,1,0,1,-1
1,2,1,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
2,3,1,2,1,-1
0,3,2,2,1,-1
5,4,2,2,1,20
0,0,0,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
2,3,1,2,1,-1
0,3,2,2,1,-1
5,4,2,2,1,20
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
3,2,3,0,1,-1
3,2,2,0,1,-1
1,2,1,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
0,0,1,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
1,4,1,0,1,-1
1,3,1,0,1,-1
1,2,1,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
3,1,4,0,1,-1
3,1,3,0,1,-1
3,1,2,0,1,-1
3,1,1,0,1,-1
0,1,0,0,1,-1
4,2,0,0,1,-1
1,2,0,2,1,-1
2,1,0,2,1,-1
0,1,1,2,1,-1
0,2,1,2,1,-1
0,3,1,2,1,-1
2,4,1,2,1,-1
5,4,2,2,1,20
2,1,0,0,1,-1
0,1,1,0,1,-1
0,2,1,0,1,-1
0,3,1,0,1,-1
2,4,1,0,1,-1
2,4,2,0,1,-1
1,4,3,0,1,-1
1,3,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
0,1,1,0,1,-1
0,2,1,0,1,-1
0,3,1,0,1,-1
2,4,1,0,1,-1
2,4,2,0,1,-1
1,4,3,0,1,-1
1,3,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
2,3,2,0,1,-1
1,3,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
4,1,1,2,1,-10
5,1,1,2,1,20
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
3,3,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
5,2,1,2,1,-10
5,2,1,2,1,-10
1,2,1,2,1,-1
5,1,1,2,1,20
2,1,2,0,1,-1
0,1,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
0,2,1,0,1,-1
0,3,1,0,1,-1
2,4,1,0,1,-1
2,4,2,0,1,-1
1,4,3,0,1,-1
1,3,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
2,1,2,0,1,-1
2,1,3,0,1,-1
0,1,4,0,1,-1
0,2,4,0,1,-1
1,3,4,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
2,4,2,0,1,-1
1,4,3,0,1,-1
1,3,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
4,3,4,0,1,-10
4,3,4,0,1,-10
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
4,1,1,2,1,-10
5,1,1,2,1,20
0,3,1,0,1,-1
2,4,1,0,1,-1
2,4,2,0,1,-1
1,4,3,0,1,-1
1,3,3,0,1,-1
2,2,3,0,1,-1
0,2,4,0,1,-1
0,3,4,0,1,-1
4,4,4,0,1,-1
1,4,4,2,1,-1
1,3,4,2,1,-1
3,2,4,2,1,-1
3,2,3,2,1,-1
0,2,2,2,1,-1
0,3,2,2,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
5,1,1,2,1,20
0,2,2,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
1,4,2,2,1,-1
3,3,2,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
3,4,2,0,1,-1
2,4,1,0,1,-1
4,4,2,0,1,-1
1,4,2,2,1,-1
3,3,2,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
0,0,0,0,1,-1
2,1,0,0,1,-1
0,1,1,0,1,-1
0,2,1,0,1,-1
2,3,1,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
5,4,0,0,1,-10
1,4,0,0,1,-1
2,3,0,0,1,-1
1,3,0,0,1,-1
2,2,0,0,1,-1
0,2,1,0,1,-1
2,3,1,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
0,2,2,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
1,3,0,0,1,-1
2,2,0,0,1,-1
0,2,1,0,1,-1
2,3,1,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
0,0,2,0,1,-1
0,1,2,0,1,-1
0,2,2,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
3,3,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
3,0,3,0,1,-1
0,0,2,0,1,-1
0,1,2,0,1,-1
0,2,2,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
1,2,1,2,1,-1
3,1,1,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
2,2,0,0,1,-1
0,2,1,0,1,-1
2,3,1,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
3,3,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
0,1,2,0,1,-1
0,2,2,0,1,-1
0,3,2,0,1,-1
4,4,2,0,1,-1
3,4,2,2,1,-1
1,4,1,2,1,-1
1,3,1,2,1,-1
3,2,1,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
2,1,1,0,1,-1
0,1,1,0,1,-1
2,2,1,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
2,2,0,0,1,-1
2,2,1,0,1,-1
2,2,2,0,1,-1
3,2,3,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
2,1,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
3,1,4,0,1,-1
0,1,3,0,1,-1
3,2,3,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
0,1,3,0,1,-1
3,2,3,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
2,2,0,0,1,-1
2,2,1,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
2,1,1,0,1,-1
0,1,1,0,1,-1
2,2,1,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
1,2,3,2,1,-1
2,1,3,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
2,3,1,0,1,-1
1,3,2,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
2,1,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
2,2,1,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
2,1,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
1,2,3,2,1,-1
1,1,3,2,1,-1
2,0,3,2,1,-1
5,0,4,2,1,20
1,4,2,0,1,-1
1,3,2,0,1,-1
1,2,2,0,1,-1
1,1,2,0,1,-1
4,0,2,0,1,-1
0,0,2,2,1,-1
0,1,2,2,1,-1
2,2,2,2,1,-1
2,2,3,2,1,-1
1,2,4,2,1,-1
1,1,4,2,1,-1
5,0,4,2,1,20
3,2,4,0,1,-1
3,2,3,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
0,0,0,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
3,2,3,0,1,-1
3,2,2,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
0,0,0,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
1,4,1,0,1,-1
1,3,1,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
0,0,0,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
3,3,2,0,1,-1
1,3,1,0,1,-1
3,2,1,0,1,-1
1,2,0,0,1,-1
4,1,0,0,1,-10
4,1,0,0,1,-10
1,1,0,0,1,-1
4,0,0,0,1,-1
0,0,0,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
1,2,0,0,1,-1
1,1,0,0,1,-1
4,0,0,0,1,-1
0,0,0,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
1,1,0,0,1,-1
4,0,0,0,1,-1
0,0,0,2,1,-1
0,1,0,2,1,-1
0,2,0,2,1,-1
0,3,0,2,1,-1
5,4,0,2,1,20
1,3,3,0,1,-1
3,2,3,0,1,-1
3,2,2,0,1,-1
